X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-79.3598251,43.7146072,73336,GO-20162119358,2016-11-29T15:38:00.000Z,2016-11-29T15:38:00.000Z,Outside,1460,100,Assault Peace Officer,2016,November,29,334,Tuesday   ,15,2016,November,29,334,Tuesday   ,15,Assault,D53,55,Thorncliffe Park (55),-79.3598251,43.7146072,73729
-79.3896561,43.7246284,73028,GO-2016982143,2016-06-03T17:00:00.000Z,2016-06-06T12:18:00.000Z,House,2120,200,B&E,2016,June,6,158,Monday    ,12,2016,June,3,155,Friday    ,17,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3896561,43.7246284,73803
-79.3953247,43.7213516,58334,GO-20142682601,2014-08-08T22:00:00.000Z,2014-08-11T18:14:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2014,August,11,223,Monday    ,18,2014,August,8,220,Friday    ,22,Auto Theft,D53,103,Lawrence Park South (103),-79.3953247,43.7213516,58044
-79.3926697,43.714984899999983,58518,GO-20142154516,2014-05-26T00:01:00.000Z,2014-05-26T09:39:00.000Z,House,2135,210,Theft Of Motor Vehicle,2014,May,26,146,Monday    ,9,2014,May,26,146,Monday    ,0,Auto Theft,D53,99,Mount Pleasant East (99),-79.3926697,43.7149849,58585
-79.379715,43.7196388,58479,GO-20141359460,2014-01-16T22:00:00.000Z,2014-01-18T12:08:00.000Z,House,2135,210,Theft Of Motor Vehicle,2014,January,18,18,Saturday  ,12,2014,January,16,16,Thursday  ,22,Auto Theft,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.379715,43.7196388,58979
-79.394157400000012,43.7178917,65177,GO-2016982684,2016-06-06T13:15:00.000Z,2016-06-06T13:38:00.000Z,House,2120,200,B&E,2016,June,6,158,Monday    ,13,2016,June,6,158,Monday    ,13,Break and Enter,D53,99,Mount Pleasant East (99),-79.3941574,43.7178917,65148
-79.388320899999982,43.7215195,65920,GO-20171497473,2017-08-19T04:10:00.000Z,2017-08-19T04:41:00.000Z,House,2120,200,B&E,2017,August,19,231,Saturday  ,4,2017,August,19,231,Saturday  ,4,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3883209,43.7215195,65523
-79.4008484,43.718338,65427,GO-20162270623,2016-12-23T11:50:00.000Z,2016-12-23T12:23:00.000Z,Outside,1430,100,Assault,2016,December,23,358,Friday    ,12,2016,December,23,358,Friday    ,11,Assault,D53,103,Lawrence Park South (103),-79.4008484,43.718338,65585
-79.3963776,43.723960899999987,70020,GO-2016841920,2016-05-16T14:04:00.000Z,2016-05-16T15:53:00.000Z,House,2120,200,B&E,2016,May,16,137,Monday    ,15,2016,May,16,137,Monday    ,14,Break and Enter,D53,103,Lawrence Park South (103),-79.3963776,43.7239609,70159
-79.3892517,43.7236824,70575,GO-20173091416,2017-11-28T18:30:00.000Z,2017-11-28T22:19:00.000Z,House,2120,200,B&E,2017,November,28,332,Tuesday   ,22,2017,November,28,332,Tuesday   ,18,Break and Enter,D53,103,Lawrence Park South (103),-79.3892517,43.7236824,70648
-79.3623199,43.7140923,79028,GO-2016339393,2016-02-26T12:30:00.000Z,2016-02-26T12:48:00.000Z,Apartment,1430,100,Assault,2016,February,26,57,Friday    ,12,2016,February,26,57,Friday    ,12,Assault,D53,56,Leaside-Bennington (56),-79.3623199,43.7140923,79039
-79.3796234,43.7243309,78897,GO-20162114247,2016-11-28T15:30:00.000Z,2016-11-28T20:38:00.000Z,House,2120,200,B&E,2016,November,28,333,Monday    ,20,2016,November,28,333,Monday    ,15,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3796234,43.7243309,78134
